Year,Country,Gold,Silver,Bronze,Total Medals,Season
1896,GRE,10,20,22,52,Summer
1896,GER,26,5,2,33,Summer
1896,USA,11,7,2,20,Summer
1896,FRA,5,4,2,11,Summer
1896,GBR,2,3,2,7,Summer
1896,ZZX,2,2,2,6,Summer
1896,HUN,2,1,3,6,Summer
1896,DEN,1,2,3,6,Summer
1896,AUT,2,1,2,5,Summer
1896,SUI,1,2,0,3,Summer
1896,AUS,2,0,0,2,Summer
1900,FRA,46,86,53,185,Summer
1900,GBR,48,20,10,78,Summer
1900,USA,27,14,14,55,Summer
1900,GER,11,19,10,40,Summer
1900,BEL,5,19,15,39,Summer
1900,ZZX,18,8,8,34,Summer
1900,NED,0,5,15,20,Summer
1900,SUI,13,1,1,15,Summer
1900,NOR,0,6,3,9,Summer
1900,DEN,1,3,2,6,Summer
1900,AUT,0,3,3,6,Summer
1900,AUS,2,0,3,5,Summer
1900,HUN,1,2,2,5,Summer
1900,ITA,2,2,0,4,Summer
1900,ESP,2,0,0,2,Summer
1900,CUB,1,1,0,2,Summer
1900,CAN,1,0,1,2,Summer
1900,IND,0,2,0,2,Summer
1900,BOH,0,1,1,2,Summer
1900,SWE,0,0,1,1,Summer
1904,USA,146,137,111,394,Summer
1904,CAN,26,9,0,35,Summer
1904,GER,4,4,5,13,Summer
1904,CUB,4,2,3,9,Summer
1904,ZZX,3,5,0,8,Summer
1904,HUN,2,1,1,4,Summer
1904,GBR,1,1,0,2,Summer
1904,GRE,1,0,1,2,Summer
1904,SUI,1,0,1,2,Summer
1904,AUT,0,0,1,1,Summer
1908,GBR,144,135,68,347,Summer
1908,SWE,69,18,11,98,Summer
1908,USA,34,14,15,63,Summer
1908,CAN,17,8,26,51,Summer
1908,NOR,7,34,3,44,Summer
1908,FRA,9,5,21,35,Summer
1908,BEL,1,24,6,31,Summer
1908,FIN,1,1,27,29,Summer
1908,GER,4,11,7,22,Summer
1908,ANZ,15,2,2,19,Summer
1908,HUN,6,7,5,18,Summer
1908,DEN,0,12,3,15,Summer
1908,NED,0,0,11,11,Summer
1908,ITA,2,5,0,7,Summer
1908,BOH,0,0,5,5,Summer
1908,RU1,1,2,0,3,Summer
1908,GRE,0,3,0,3,Summer
1908,RSA,1,1,0,2,Summer
1908,AUT,0,0,1,1,Summer
1912,SWE,86,62,25,173,Summer
1912,GBR,44,58,58,160,Summer
1912,USA,45,25,31,101,Summer
1912,DEN,5,45,34,84,Summer
1912,NOR,41,6,29,76,Summer
1912,FIN,9,36,22,67,Summer
1912,GER,10,19,23,52,Summer
1912,HUN,10,17,3,30,Summer
1912,FRA,10,10,5,25,Summer
1912,NED,0,0,22,22,Summer
1912,ITA,18,1,2,21,Summer
1912,BEL,9,1,9,19,Summer
1912,AUT,0,9,5,14,Summer
1912,RU1,0,5,9,14,Summer
1912,ANZ,5,2,3,10,Summer
1912,CAN,3,2,3,8,Summer
1912,RSA,5,2,0,7,Summer
1912,GRE,1,0,1,2,Summer
1920,USA,110,45,38,193,Summer
1920,BEL,57,66,65,188,Summer
1920,SWE,53,36,57,146,Summer
1920,NOR,58,56,27,141,Summer
1920,FRA,13,73,55,141,Summer
1920,GBR,55,35,17,107,Summer
1920,ITA,68,9,7,84,Summer
1920,DEN,30,44,1,75,Summer
1920,FIN,18,14,17,49,Summer
1920,NED,14,10,24,48,Summer
1920,SUI,6,2,21,29,Summer
1920,ESP,0,24,0,24,Summer
1920,RSA,3,12,6,21,Summer
1920,CAN,10,3,3,16,Summer
1920,TCH,0,0,10,10,Summer
1920,BRA,1,1,5,7,Summer
1920,AUS,0,5,1,6,Summer
1920,GRE,0,5,0,5,Summer
1920,EST,1,2,0,3,Summer
1920,JPN,0,3,0,3,Summer
1920,LUX,0,1,0,1,Summer
1920,NZL,0,0,1,1,Summer
1924,USA,110,37,51,198,Summer
1924,FRA,39,63,20,122,Summer
1924,SWE,6,25,49,80,Summer
1924,GBR,17,29,20,66,Summer
1924,SUI,13,31,21,65,Summer
1924,FIN,24,13,15,52,Summer
1924,ITA,25,5,21,51,Summer
1924,BEL,3,29,6,38,Summer
1924,NOR,16,7,3,26,Summer
1924,NED,8,1,17,26,Summer
1924,ROU,0,0,23,23,Summer
1924,URU,22,0,0,22,Summer
1924,HUN,2,10,8,20,Summer
1924,CAN,0,19,1,20,Summer
1924,DEN,2,8,2,12,Summer
1924,ARG,6,3,2,11,Summer
1924,AUS,3,5,2,10,Summer
1924,TCH,1,4,5,10,Summer
1924,HAI,0,0,7,7,Summer
1924,EST,1,1,4,6,Summer
1924,POL,0,4,1,5,Summer
1924,AUT,0,3,1,4,Summer
1924,RSA,1,1,1,3,Summer
1924,POR,0,0,3,3,Summer
1924,YUG,2,0,0,2,Summer
1924,JPN,0,0,1,1,Summer
1924,NZL,0,0,1,1,Summer
1928,USA,43,24,17,84,Summer
1928,GER,20,13,39,72,Summer
1928,ITA,18,21,31,70,Summer
1928,NED,20,39,6,65,Summer
1928,GBR,6,25,24,55,Summer
1928,FRA,7,16,13,36,Summer
1928,SWE,7,8,21,36,Summer
1928,CAN,7,5,21,33,Summer
1928,ARG,3,24,5,32,Summer
1928,SUI,16,8,5,29,Summer
1928,FIN,8,8,9,25,Summer
1928,URU,22,0,0,22,Summer
1928,HUN,9,11,0,20,Summer
1928,POL,1,3,14,18,Summer
1928,TCH,2,12,2,16,Summer
1928,IND,15,0,0,15,Summer
1928,DEN,5,5,3,13,Summer
1928,YUG,1,1,10,12,Summer
1928,NOR,4,4,1,9,Summer
1928,EST,2,1,6,9,Summer
1928,JPN,2,5,1,8,Summer
1928,RSA,1,0,5,6,Summer
1928,BEL,0,1,4,5,Summer
1928,EGY,2,1,1,4,Summer
1928,AUT,2,0,2,4,Summer
1928,AUS,1,2,1,4,Summer
1928,ESP,3,0,0,3,Summer
1928,IRL,1,0,0,1,Summer
1928,NZL,1,0,0,1,Summer
1928,CHI,0,1,0,1,Summer
1928,HAI,0,1,0,1,Summer
1928,PHI,0,0,1,1,Summer
1932,USA,78,44,59,181,Summer
1932,ITA,21,38,18,77,Summer
1932,GER,7,26,5,38,Summer
1932,CAN,2,13,23,38,Summer
1932,FRA,23,8,6,37,Summer
1932,GBR,8,12,14,34,Summer
1932,HUN,20,4,8,32,Summer
1932,SWE,12,7,12,31,Summer
1932,JPN,10,17,4,31,Summer
1932,FIN,5,8,16,29,Summer
1932,POL,2,3,14,19,Summer
1932,NED,2,10,0,12,Summer
1932,IND,11,0,0,11,Summer
1932,DEN,0,5,4,9,Summer
1932,AUS,3,1,1,5,Summer
1932,RSA,2,0,3,5,Summer
1932,AUT,1,1,3,5,Summer
1932,ARG,3,1,0,4,Summer
1932,TCH,1,2,1,4,Summer
1932,PHI,0,0,3,3,Summer
1932,IRL,2,0,0,2,Summer
1932,MEX,0,2,0,2,Summer
1932,NZL,0,2,0,2,Summer
1932,LAT,0,1,0,1,Summer
1932,SUI,0,1,0,1,Summer
1932,ESP,0,0,1,1,Summer
1932,URU,0,0,1,1,Summer
1936,GER,88,63,59,210,Summer
1936,USA,51,26,15,92,Summer
1936,ITA,36,30,5,71,Summer
1936,AUT,5,41,4,50,Summer
1936,SUI,1,22,24,47,Summer
1936,FRA,12,13,18,43,Summer
1936,HUN,25,1,16,42,Summer
1936,NED,9,7,21,37,Summer
1936,GBR,12,16,8,36,Summer
1936,SWE,7,11,16,34,Summer
1936,NOR,1,12,15,28,Summer
1936,FIN,7,6,13,26,Summer
1936,CAN,1,12,9,22,Summer
1936,JPN,9,4,8,21,Summer
1936,IND,19,0,0,19,Summer
1936,TCH,5,12,0,17,Summer
1936,MEX,0,0,16,16,Summer
1936,BEL,0,0,12,12,Summer
1936,ARG,5,2,4,11,Summer
1936,POL,0,5,4,9,Summer
1936,EST,2,2,3,7,Summer
1936,DEN,0,3,3,6,Summer
1936,EGY,2,1,2,5,Summer
1936,POR,0,0,3,3,Summer
1936,TUR,1,0,1,2,Summer
1936,ROU,0,2,0,2,Summer
1936,LAT,0,1,1,2,Summer
1936,NZL,1,0,0,1,Summer
1936,RSA,0,1,0,1,Summer
1936,YUG,0,1,0,1,Summer
1936,AUS,0,0,1,1,Summer
1936,PHI,0,0,1,1,Summer
1948,USA,83,30,35,148,Summer
1948,SWE,29,15,29,73,Summer
1948,FRA,25,22,21,68,Summer
1948,ITA,20,31,12,63,Summer
1948,HUN,15,24,21,60,Summer
1948,GBR,6,39,11,56,Summer
1948,DEN,7,15,27,49,Summer
1948,NED,8,2,32,42,Summer
1948,SUI,5,22,5,32,Summer
1948,FIN,15,7,7,29,Summer
1948,IND,20,0,0,20,Summer
1948,TCH,14,3,3,20,Summer
1948,NOR,3,4,11,18,Summer
1948,AUS,2,9,5,16,Summer
1948,YUG,0,16,0,16,Summer
1948,BEL,4,2,8,14,Summer
1948,TUR,6,4,2,12,Summer
1948,ARG,3,8,1,12,Summer
1948,BRA,0,0,12,12,Summer
1948,MEX,4,1,4,9,Summer
1948,CAN,0,1,5,6,Summer
1948,EGY,2,2,1,5,Summer
1948,POR,0,2,3,5,Summer
1948,RSA,2,1,1,4,Summer
1948,AUT,1,0,3,4,Summer
1948,JAM,1,2,0,3,Summer
1948,ESP,0,3,0,3,Summer
1948,URU,0,1,2,3,Summer
1948,CUB,0,2,0,2,Summer
1948,KOR,0,0,2,2,Summer
1948,PAN,0,0,2,2,Summer
1948,PER,1,0,0,1,Summer
1948,SRI,0,1,0,1,Summer
1948,TRI,0,1,0,1,Summer
1948,IRI,0,0,1,1,Summer
1948,POL,0,0,1,1,Summer
1948,PUR,0,0,1,1,Summer
1952,USA,79,23,28,130,Summer
1952,URS,36,62,19,117,Summer
1952,HUN,52,17,32,101,Summer
1952,SWE,23,24,23,70,Summer
1952,ITA,17,21,15,53,Summer
1952,FIN,8,3,29,40,Summer
1952,GER,0,14,26,40,Summer
1952,FRA,14,9,16,39,Summer
1952,SUI,2,19,12,33,Summer
1952,GBR,3,2,26,31,Summer
1952,TCH,11,4,10,25,Summer
1952,YUG,4,20,0,24,Summer
1952,AUS,7,2,11,20,Summer
1952,NED,0,18,0,18,Summer
1952,IND,14,0,1,15,Summer
1952,RSA,2,8,4,14,Summer
1952,URU,0,0,14,14,Summer
1952,NOR,5,8,0,13,Summer
1952,JPN,1,9,2,12,Summer
1952,DEN,3,1,5,9,Summer
1952,JAM,5,3,0,8,Summer
1952,BEL,4,3,0,7,Summer
1952,IRI,0,3,4,7,Summer
1952,ARG,2,2,2,6,Summer
1952,CAN,1,3,0,4,Summer
1952,POL,1,2,1,4,Summer
1952,ROU,1,1,2,4,Summer
1952,CHI,0,4,0,4,Summer
1952,TUR,2,0,1,3,Summer
1952,BRA,1,0,2,3,Summer
1952,NZL,1,0,2,3,Summer
1952,AUT,0,1,2,3,Summer
1952,LIB,0,1,1,2,Summer
1952,KOR,0,0,2,2,Summer
1952,POR,0,0,2,2,Summer
1952,TRI,0,0,2,2,Summer
1952,LUX,1,0,0,1,Summer
1952,ESP,0,1,0,1,Summer
1952,IRL,0,1,0,1,Summer
1952,MEX,0,1,0,1,Summer
1952,BUL,0,0,1,1,Summer
1952,EGY,0,0,1,1,Summer
1952,VEN,0,0,1,1,Summer
1956,URS,68,46,55,169,Summer
1956,USA,61,37,20,118,Summer
1956,HUN,30,20,14,64,Summer
1956,AUS,23,12,26,61,Summer
1956,EUA,12,23,22,57,Summer
1956,ITA,25,11,10,46,Summer
1956,GBR,8,15,22,45,Summer
1956,SWE,14,14,6,34,Summer
1956,FRA,6,13,13,32,Summer
1956,FIN,3,1,22,26,Summer
1956,JPN,4,15,5,24,Summer
1956,YUG,0,23,0,23,Summer
1956,ROU,6,3,10,19,Summer
1956,CAN,5,9,5,19,Summer
1956,POL,1,9,9,19,Summer
1956,BUL,1,3,14,18,Summer
1956,IND,17,0,0,17,Summer
1956,PAK,0,14,0,14,Summer
1956,URU,0,0,12,12,Summer
1956,TUR,3,2,2,7,Summer
1956,DEN,1,5,1,7,Summer
1956,TCH,1,5,1,7,Summer
1956,RSA,0,0,7,7,Summer
1956,IRI,2,2,1,5,Summer
1956,IRL,1,1,3,5,Summer
1956,CHI,0,2,2,4,Summer
1956,AUT,0,0,4,4,Summer
1956,NZL,3,0,0,3,Summer
1956,NOR,1,0,2,3,Summer
1956,SUI,0,0,3,3,Summer
1956,MEX,1,0,1,2,Summer
1956,BEL,0,2,0,2,Summer
1956,ARG,0,1,1,2,Summer
1956,KOR,0,1,1,2,Summer
1956,BAH,0,0,2,2,Summer
1956,BRA,1,0,0,1,Summer
1956,ISL,0,1,0,1,Summer
1956,GRE,0,0,1,1,Summer
1960,URS,61,63,45,169,Summer
1960,USA,68,23,21,112,Summer
1960,ITA,36,18,34,88,Summer
1960,EUA,34,33,21,88,Summer
1960,HUN,13,16,36,65,Summer
1960,AUS,10,17,9,36,Summer
1960,POL,4,11,15,30,Summer
1960,JPN,9,10,10,29,Summer
1960,GBR,2,11,15,28,Summer
1960,DEN,2,17,4,23,Summer
1960,TCH,4,7,11,22,Summer
1960,YUG,16,1,0,17,Summer
1960,ROU,3,1,11,15,Summer
1960,PAK,13,0,1,14,Summer
1960,ESP,0,0,14,14,Summer
1960,IND,0,13,0,13,Summer
1960,BRA,0,0,13,13,Summer
1960,FRA,0,6,5,11,Summer
1960,SUI,0,5,6,11,Summer
1960,TUR,7,2,0,9,Summer
1960,CAN,0,9,0,9,Summer
1960,SWE,2,2,3,7,Summer
1960,BUL,1,3,3,7,Summer
1960,FIN,1,1,4,6,Summer
1960,BWI,0,0,5,5,Summer
1960,ARG,0,3,1,4,Summer
1960,BEL,0,2,2,4,Summer
1960,IRI,0,1,3,4,Summer
1960,GRE,3,0,0,3,Summer
1960,NZL,2,0,1,3,Summer
1960,AUT,1,2,0,3,Summer
1960,NED,0,1,2,3,Summer
1960,RSA,0,1,2,3,Summer
1960,NOR,2,0,0,2,Summer
1960,POR,0,2,0,2,Summer
1960,EGY,0,1,1,2,Summer
1960,ETH,1,0,0,1,Summer
1960,GHA,0,1,0,1,Summer
1960,MAR,0,1,0,1,Summer
1960,SIN,0,1,0,1,Summer
1960,TPE,0,1,0,1,Summer
1960,IRQ,0,0,1,1,Summer
1960,MEX,0,0,1,1,Summer
1960,VEN,0,0,1,1,Summer
1964,URS,61,63,50,174,Summer
1964,USA,78,36,36,150,Summer
1964,EUA,22,44,49,115,Summer
1964,JPN,32,5,27,64,Summer
1964,HUN,42,7,7,56,Summer
1964,TCH,5,38,12,55,Summer
1964,ITA,13,28,9,50,Summer
1964,POL,10,13,25,48,Summer
1964,AUS,8,5,29,42,Summer
1964,FRA,1,13,17,31,Summer
1964,NED,5,9,16,30,Summer
1964,GBR,4,19,5,28,Summer
1964,ROU,2,4,10,16,Summer
1964,PAK,0,16,0,16,Summer
1964,IND,15,0,0,15,Summer
1964,SWE,3,4,8,15,Summer
1964,YUG,2,11,2,15,Summer
1964,DEN,7,1,4,12,Summer
1964,BRA,0,0,12,12,Summer
1964,BUL,3,5,2,10,Summer
1964,NZL,4,0,2,6,Summer
1964,TUR,2,3,1,6,Summer
1964,SUI,1,4,1,6,Summer
1964,TRI,0,1,5,6,Summer
1964,FIN,3,0,2,5,Summer
1964,CAN,2,2,1,5,Summer
1964,BEL,2,0,1,3,Summer
1964,KOR,0,2,1,3,Summer
1964,BAH,2,0,0,2,Summer
1964,TUN,0,1,1,2,Summer
1964,IRI,0,0,2,2,Summer
1964,ETH,1,0,0,1,Summer
1964,ARG,0,1,0,1,Summer
1964,CUB,0,1,0,1,Summer
1964,PHI,0,1,0,1,Summer
1964,GHA,0,0,1,1,Summer
1964,IRL,0,0,1,1,Summer
1964,KEN,0,0,1,1,Summer
1964,MEX,0,0,1,1,Summer
1964,NGR,0,0,1,1,Summer
1964,URU,0,0,1,1,Summer
1968,URS,66,62,60,188,Summer
1968,USA,83,31,35,149,Summer
1968,HUN,32,20,29,81,Summer
1968,JPN,16,29,22,67,Summer
1968,GDR,13,19,19,51,Summer
1968,FRG,16,15,18,49,Summer
1968,AUS,5,34,10,49,Summer
1968,POL,5,2,30,37,Summer
1968,ITA,5,8,19,32,Summer
1968,YUG,13,14,2,29,Summer
1968,TCH,7,7,15,29,Summer
1968,FRA,12,5,10,27,Summer
1968,BUL,2,21,3,26,Summer
1968,ROU,5,9,9,23,Summer
1968,GBR,8,5,5,18,Summer
1968,DEN,4,6,6,16,Summer
1968,IND,0,0,15,15,Summer
1968,NED,6,7,1,14,Summer
1968,PAK,13,0,0,13,Summer
1968,SUI,0,3,10,13,Summer
1968,KEN,3,7,2,12,Summer
1968,CAN,3,3,4,10,Summer
1968,CUB,0,10,0,10,Summer
1968,SWE,4,4,1,9,Summer
1968,MEX,3,3,3,9,Summer
1968,NZL,5,0,2,7,Summer
1968,NOR,4,2,0,6,Summer
1968,IRI,2,1,2,5,Summer
1968,AUT,0,2,3,5,Summer
1968,FIN,1,2,1,4,Summer
1968,BRA,0,1,3,4,Summer
1968,MGL,0,1,3,4,Summer
1968,BEL,0,1,2,3,Summer
1968,TUR,2,0,0,2,Summer
1968,ETH,1,1,0,2,Summer
1968,TUN,1,0,1,2,Summer
1968,KOR,0,1,1,2,Summer
1968,UGA,0,1,1,2,Summer
1968,ARG,0,0,2,2,Summer
1968,VEN,1,0,0,1,Summer
1968,CMR,0,1,0,1,Summer
1968,JAM,0,1,0,1,Summer
1968,GRE,0,0,1,1,Summer
1968,TPE,0,0,1,1,Summer
1972,URS,107,46,58,211,Summer
1972,USA,53,59,43,155,Summer
1972,GDR,30,62,56,148,Summer
1972,FRG,43,17,36,96,Summer
1972,HUN,10,46,25,81,Summer
1972,JPN,29,19,8,56,Summer
1972,POL,27,8,11,46,Summer
1972,ROU,3,10,27,40,Summer
1972,GBR,8,9,12,29,Summer
1972,TCH,2,21,6,29,Summer
1972,ITA,9,3,13,25,Summer
1972,BUL,6,10,6,22,Summer
1972,CUB,3,1,18,22,Summer
1972,FRA,2,5,15,22,Summer
1972,SWE,4,9,8,21,Summer
1972,AUS,11,7,2,20,Summer
1972,YUG,15,1,2,18,Summer
1972,PRK,1,1,13,15,Summer
1972,PAK,0,15,0,15,Summer
1972,NZL,9,4,1,14,Summer
1972,IND,0,0,14,14,Summer
1972,KEN,5,3,4,12,Summer
1972,FIN,3,1,6,10,Summer
1972,CAN,0,2,8,10,Summer
1972,NOR,2,2,4,8,Summer
1972,SUI,0,8,0,8,Summer
1972,NED,3,1,2,6,Summer
1972,IRI,0,2,1,3,Summer
1972,AUT,0,1,2,3,Summer
1972,COL,0,1,2,3,Summer
1972,UGA,1,1,0,2,Summer
1972,BEL,0,2,0,2,Summer
1972,GRE,0,2,0,2,Summer
1972,BRA,0,0,2,2,Summer
1972,ETH,0,0,2,2,Summer
1972,DEN,1,0,0,1,Summer
1972,ARG,0,1,0,1,Summer
1972,KOR,0,1,0,1,Summer
1972,LIB,0,1,0,1,Summer
1972,MEX,0,1,0,1,Summer
1972,MGL,0,1,0,1,Summer
