Year,Country,Gold,Silver,Bronze,Total Medals,Season
2008,KAZ,2,4,7,13,Summer
2008,SUI,3,0,8,11,Summer
2008,SVK,4,5,1,10,Summer
2008,TUR,1,4,3,8,Summer
2008,ETH,4,1,2,7,Summer
2008,CZE,3,4,0,7,Summer
2008,INA,2,2,3,7,Summer
2008,AZE,1,2,4,7,Summer
2008,SWE,0,5,2,7,Summer
2008,GRE,0,3,4,7,Summer
2008,GEO,3,0,3,6,Summer
2008,PRK,2,1,3,6,Summer
2008,UZB,1,2,3,6,Summer
2008,ARM,0,0,6,6,Summer
2008,BEL,1,4,0,5,Summer
2008,FIN,1,2,2,5,Summer
2008,SLO,1,2,2,5,Summer
2008,BUL,1,1,3,5,Summer
2008,TRI,0,5,0,5,Summer
2008,BAH,0,4,1,5,Summer
2008,CRO,0,2,3,5,Summer
2008,LTU,0,2,3,5,Summer
2008,MGL,2,2,0,4,Summer
2008,THA,2,2,0,4,Summer
2008,MEX,2,0,2,4,Summer
2008,ZIM,1,3,0,4,Summer
2008,TPE,0,0,4,4,Summer
2008,EST,1,2,0,3,Summer
2008,LAT,1,1,1,3,Summer
2008,IND,1,0,2,3,Summer
2008,SIN,0,3,0,3,Summer
2008,AUT,0,1,2,3,Summer
2008,IRL,0,1,2,3,Summer
2008,DOM,1,1,0,2,Summer
2008,POR,1,1,0,2,Summer
2008,IRI,1,0,1,2,Summer
2008,ALG,0,1,1,2,Summer
2008,COL,0,1,1,2,Summer
2008,KGZ,0,1,1,2,Summer
2008,MAR,0,1,1,2,Summer
2008,TJK,0,1,1,2,Summer
2008,CMR,1,0,0,1,Summer
2008,PAN,1,0,0,1,Summer
2008,TUN,1,0,0,1,Summer
2008,CHI,0,1,0,1,Summer
2008,ECU,0,1,0,1,Summer
2008,MAS,0,1,0,1,Summer
2008,RSA,0,1,0,1,Summer
2008,SUD,0,1,0,1,Summer
2008,VIE,0,1,0,1,Summer
2008,AFG,0,0,1,1,Summer
2008,EGY,0,0,1,1,Summer
2008,ISR,0,0,1,1,Summer
2008,MDA,0,0,1,1,Summer
2008,MRI,0,0,1,1,Summer
2008,TOG,0,0,1,1,Summer
2008,VEN,0,0,1,1,Summer
2012,USA,147,57,46,250,Summer
2012,RUS,47,32,51,130,Summer
2012,CHN,56,44,28,128,Summer
2012,GBR,48,30,48,126,Summer
2012,AUS,19,36,59,114,Summer
2012,GER,45,28,21,94,Summer
2012,JPN,7,44,33,84,Summer
2012,FRA,30,30,22,82,Summer
2012,NED,21,29,19,69,Summer
2012,ITA,16,22,30,68,Summer
2012,ESP,6,34,25,65,Summer
2012,KOR,18,13,32,63,Summer
2012,BRA,14,34,11,59,Summer
2012,CAN,1,21,35,57,Summer
2012,CRO,15,4,16,35,Summer
2012,MEX,18,5,3,26,Summer
2012,HUN,12,8,6,26,Summer
2012,NZL,9,3,14,26,Summer
2012,UKR,9,4,12,25,Summer
2012,JAM,8,9,8,25,Summer
2012,SWE,2,18,3,23,Summer
2012,BLR,3,12,6,21,Summer
2012,ARG,1,16,3,20,Summer
2012,NOR,15,1,1,17,Summer
2012,DEN,3,5,8,16,Summer
2012,ROU,2,8,6,16,Summer
2012,SRB,1,1,14,16,Summer
2012,CUB,5,3,7,15,Summer
2012,CZE,4,4,7,15,Summer
2012,MNE,0,14,0,14,Summer
2012,IRI,5,6,2,13,Summer
2012,POL,3,1,8,12,Summer
2012,KEN,2,4,6,12,Summer
2012,KAZ,3,1,6,10,Summer
2012,AZE,2,2,6,10,Summer
2012,TTO,1,4,5,10,Summer
2012,RSA,6,2,1,9,Summer
2012,COL,1,3,4,8,Summer
2012,ETH,3,2,2,7,Summer
2012,GEO,1,3,3,7,Summer
2012,PRK,4,0,2,6,Summer
2012,IRL,1,1,4,6,Summer
2012,IND,0,2,4,6,Summer
2012,LTU,2,1,2,5,Summer
2012,SLO,1,1,3,5,Summer
2012,FIN,0,2,3,5,Summer
2012,MGL,0,2,3,5,Summer
2012,SVK,0,1,4,5,Summer
2012,BAH,4,0,0,4,Summer
2012,SUI,2,2,0,4,Summer
2012,TUR,1,2,1,4,Summer
2012,EGY,0,3,1,4,Summer
2012,THA,0,2,2,4,Summer
2012,KSA,0,0,4,4,Summer
2012,SGP,0,0,4,4,Summer
2012,TUN,2,0,1,3,Summer
2012,LAT,1,0,2,3,Summer
2012,UZB,1,0,2,3,Summer
2012,INA,0,2,1,3,Summer
2012,BEL,0,1,2,3,Summer
2012,GRE,0,0,3,3,Summer
2012,DOM,1,1,0,2,Summer
2012,TPE,1,0,1,2,Summer
2012,POR,0,2,0,2,Summer
2012,ARM,0,1,1,2,Summer
2012,BUL,0,1,1,2,Summer
2012,EST,0,1,1,2,Summer
2012,MAS,0,1,1,2,Summer
2012,PUR,0,1,1,2,Summer
2012,QAT,0,0,2,2,Summer
2012,ALG,1,0,0,1,Summer
2012,GRN,1,0,0,1,Summer
2012,UGA,1,0,0,1,Summer
2012,VEN,1,0,0,1,Summer
2012,BOT,0,1,0,1,Summer
2012,CYP,0,1,0,1,Summer
2012,GAB,0,1,0,1,Summer
2012,GUA,0,1,0,1,Summer
2012,AFG,0,0,1,1,Summer
2012,BRN,0,0,1,1,Summer
2012,CMR,0,0,1,1,Summer
2012,HKG,0,0,1,1,Summer
2012,KUW,0,0,1,1,Summer
2012,MAR,0,0,1,1,Summer
2012,TJK,0,0,1,1,Summer
1924,GBR,8,4,13,25,Winter
1924,NOR,4,7,6,17,Winter
1924,FIN,4,8,3,15,Winter
1924,USA,1,11,1,13,Winter
1924,FRA,0,0,12,12,Winter
1924,CAN,9,0,0,9,Winter
1924,SUI,8,0,1,9,Winter
1924,SWE,1,8,0,9,Winter
1924,BEL,0,0,5,5,Winter
1924,AUT,3,1,0,4,Winter
1928,SWE,2,13,1,16,Winter
1928,NOR,6,4,5,15,Winter
1928,USA,6,6,2,14,Winter
1928,CAN,12,0,0,12,Winter
1928,SUI,0,0,12,12,Winter
1928,AUT,0,4,2,6,Winter
1928,GER,0,0,5,5,Winter
1928,FIN,2,1,1,4,Winter
1928,FRA,2,0,0,2,Winter
1928,BEL,0,0,1,1,Winter
1928,GBR,0,0,1,1,Winter
1928,TCH,0,0,1,1,Winter
1932,USA,11,27,7,45,Winter
1932,GER,0,0,21,21,Winter
1932,CAN,14,1,5,20,Winter
1932,NOR,3,4,3,10,Winter
1932,SUI,0,8,0,8,Winter
1932,SWE,1,2,0,3,Winter
1932,FIN,1,1,1,3,Winter
1932,FRA,2,0,0,2,Winter
1932,AUT,1,1,0,2,Winter
1932,HUN,0,0,2,2,Winter
1936,NOR,7,8,3,18,Winter
1936,GBR,12,1,4,17,Winter
1936,USA,2,0,14,16,Winter
1936,CAN,0,13,0,13,Winter
1936,SUI,4,6,0,10,Winter
1936,SWE,2,2,6,10,Winter
1936,FIN,4,2,3,9,Winter
1936,GER,4,3,0,7,Winter
1936,AUT,1,2,2,5,Winter
1936,HUN,0,0,2,2,Winter
1936,FRA,0,0,1,1,Winter
1948,SUI,4,5,19,28,Winter
1948,CAN,18,0,2,20,Winter
1948,TCH,0,17,0,17,Winter
1948,USA,6,4,6,16,Winter
1948,SWE,7,3,3,13,Winter
1948,NOR,4,3,6,13,Winter
1948,FIN,1,6,2,9,Winter
1948,AUT,1,3,4,8,Winter
1948,BEL,2,4,0,6,Winter
1948,FRA,2,1,2,5,Winter
1948,HUN,0,2,0,2,Winter
1948,GBR,0,0,2,2,Winter
1948,ITA,1,0,0,1,Winter
1952,USA,4,25,1,30,Winter
1952,SWE,0,0,23,23,Winter
1952,NOR,7,6,6,19,Winter
1952,CAN,16,0,1,17,Winter
1952,FRG,8,2,2,12,Winter
1952,FIN,6,4,2,12,Winter
1952,AUT,2,4,2,8,Winter
1952,SUI,0,0,6,6,Winter
1952,NED,0,3,0,3,Winter
1952,ITA,1,0,1,2,Winter
1952,HUN,0,0,2,2,Winter
1952,GBR,1,0,0,1,Winter
1952,FRA,0,0,1,1,Winter
1956,URS,26,5,6,37,Winter
1956,USA,2,19,5,26,Winter
1956,CAN,0,2,18,20,Winter
1956,SWE,2,4,9,15,Winter
1956,FIN,5,6,1,12,Winter
1956,AUT,5,3,4,12,Winter
1956,SUI,6,2,2,10,Winter
1956,ITA,2,6,0,8,Winter
1956,NOR,2,1,1,4,Winter
1956,EUA,1,0,1,2,Winter
1956,HUN,0,0,2,2,Winter
1956,JPN,0,1,0,1,Winter
1956,POL,0,0,1,1,Winter
1960,URS,7,7,28,42,Winter
1960,USA,19,4,4,27,Winter
1960,CAN,3,17,1,21,Winter
1960,FIN,5,3,5,13,Winter
1960,SWE,5,2,2,9,Winter
1960,EUA,4,4,1,9,Winter
1960,NOR,3,6,0,9,Winter
1960,AUT,1,2,3,6,Winter
1960,FRA,1,0,2,3,Winter
1960,SUI,2,0,0,2,Winter
1960,NED,0,1,1,2,Winter
1960,POL,0,1,1,2,Winter
1960,TCH,0,1,0,1,Winter
1960,ITA,0,0,1,1,Winter
1964,URS,29,8,9,46,Winter
1964,SWE,6,21,1,28,Winter
1964,AUT,5,9,3,17,Winter
1964,TCH,0,0,17,17,Winter
1964,FIN,3,7,5,15,Winter
1964,NOR,3,6,6,15,Winter
1964,EUA,3,4,3,10,Winter
1964,ITA,0,2,8,10,Winter
1964,USA,1,2,5,8,Winter
1964,CAN,4,2,1,7,Winter
1964,FRA,3,4,0,7,Winter
1964,GBR,2,0,0,2,Winter
1964,NED,1,1,0,2,Winter
1964,PRK,0,1,0,1,Winter
1968,URS,26,6,5,37,Winter
1968,NOR,11,9,2,22,Winter
1968,TCH,1,19,1,21,Winter
1968,CAN,1,1,18,20,Winter
1968,SWE,3,7,6,16,Winter
1968,AUT,3,8,4,15,Winter
1968,FRG,2,3,5,10,Winter
1968,FRA,4,3,2,9,Winter
1968,NED,3,3,3,9,Winter
1968,SUI,0,2,7,9,Winter
1968,ITA,8,0,0,8,Winter
1968,FIN,1,2,5,8,Winter
1968,USA,1,5,1,7,Winter
1968,GDR,2,2,2,6,Winter
1968,ROU,0,0,2,2,Winter
1972,URS,36,6,3,45,Winter
1972,USA,3,19,3,25,Winter
1972,GDR,5,3,12,20,Winter
1972,TCH,1,0,19,20,Winter
1972,SUI,7,3,7,17,Winter
1972,NOR,2,8,7,17,Winter
1972,FRG,4,2,4,10,Winter
1972,FIN,0,9,1,10,Winter
1972,NED,4,3,2,9,Winter
1972,ITA,3,5,1,9,Winter
1972,AUT,1,2,2,5,Winter
1972,SWE,1,1,2,4,Winter
1972,JPN,1,1,1,3,Winter
1972,FRA,0,1,2,3,Winter
1972,ESP,1,0,0,1,Winter
1972,POL,1,0,0,1,Winter
1972,CAN,0,1,0,1,Winter
1976,URS,38,7,11,56,Winter
1976,GDR,12,6,14,32,Winter
1976,FRG,2,7,23,32,Winter
1976,TCH,0,18,0,18,Winter
1976,FIN,5,10,1,16,Winter
1976,USA,3,3,5,11,Winter
1976,NOR,3,6,1,10,Winter
1976,SUI,1,6,2,9,Winter
1976,AUT,2,2,3,7,Winter
1976,NED,1,2,3,6,Winter
1976,ITA,1,2,1,4,Winter
1976,CAN,1,1,1,3,Winter
1976,LIE,0,0,2,2,Winter
1976,SWE,0,0,2,2,Winter
1976,GBR,1,0,0,1,Winter
1976,FRA,0,0,1,1,Winter
1980,URS,18,29,7,54,Winter
1980,GDR,16,11,12,39,Winter
1980,USA,24,4,2,30,Winter
1980,SWE,3,0,19,22,Winter
1980,NOR,1,6,9,16,Winter
1980,FIN,1,5,6,12,Winter
1980,SUI,2,4,3,9,Winter
1980,AUT,3,2,3,8,Winter
1980,FRG,0,2,6,8,Winter
1980,LIE,2,2,0,4,Winter
1980,NED,1,2,1,4,Winter
1980,ITA,0,3,0,3,Winter
1980,HUN,0,2,0,2,Winter
1980,CAN,0,1,1,2,Winter
1980,GBR,1,0,0,1,Winter
1980,JPN,0,1,0,1,Winter
1980,BUL,0,0,1,1,Winter
1980,FRA,0,0,1,1,Winter
1980,TCH,0,0,1,1,Winter
1984,URS,29,15,12,56,Winter
1984,GDR,13,13,7,33,Winter
1984,SWE,7,2,21,30,Winter
1984,TCH,0,24,4,28,Winter
1984,FIN,4,3,12,19,Winter
1984,NOR,6,5,4,15,Winter
1984,USA,4,5,0,9,Winter
1984,FRG,3,1,4,8,Winter
1984,SUI,2,2,4,8,Winter
1984,CAN,2,1,1,4,Winter
1984,FRA,0,1,2,3,Winter
1984,GBR,2,0,0,2,Winter
1984,ITA,2,0,0,2,Winter
1984,LIE,0,0,2,2,Winter
1984,JPN,0,1,0,1,Winter
1984,YUG,0,1,0,1,Winter
1984,AUT,0,0,1,1,Winter
1988,URS,41,14,12,67,Winter
1988,FIN,7,22,5,34,Winter
1988,GDR,10,15,7,32,Winter
1988,SWE,7,0,23,30,Winter
1988,SUI,8,7,5,20,Winter
1988,FRG,4,7,3,14,Winter
1988,AUT,3,5,4,12,Winter
1988,NOR,0,6,5,11,Winter
1988,ITA,2,1,5,8,Winter
1988,NED,3,2,2,7,Winter
1988,USA,2,1,4,7,Winter
1988,YUG,0,5,1,6,Winter
1988,CAN,0,2,4,6,Winter
1988,TCH,0,1,5,6,Winter
1988,FRA,1,0,1,2,Winter
1988,JPN,0,0,1,1,Winter
1988,LIE,0,0,1,1,Winter
1992,EUN,36,10,14,60,Winter
1992,GER,14,17,7,38,Winter
1992,CAN,5,29,3,37,Winter
1992,AUT,9,10,10,29,Winter
1992,NOR,12,11,5,28,Winter
1992,TCH,0,0,28,28,Winter
1992,ITA,4,9,8,21,Winter
1992,USA,5,7,2,14,Winter
1992,FIN,6,1,6,13,Winter
1992,FRA,5,6,1,12,Winter
1992,JPN,3,2,7,12,Winter
1992,KOR,5,1,1,7,Winter
1992,SUI,2,0,5,7,Winter
1992,SWE,1,0,6,7,Winter
1992,NED,1,1,2,4,Winter
1992,CHN,0,3,0,3,Winter
1992,LUX,0,2,0,2,Winter
1992,NZL,0,1,0,1,Winter
1992,ESP,0,0,1,1,Winter
1992,PRK,0,0,1,1,Winter
1994,GER,18,10,12,40,Winter
1994,CAN,3,32,5,40,Winter
1994,RUS,19,13,4,36,Winter
1994,NOR,10,19,5,34,Winter
1994,ITA,15,6,12,33,Winter
1994,FIN,0,1,30,31,Winter
1994,SWE,23,1,0,24,Winter
1994,USA,6,9,6,21,Winter
1994,SUI,4,8,4,16,Winter
1994,AUT,2,3,7,12,Winter
1994,FRA,0,1,10,11,Winter
1994,KOR,8,1,1,10,Winter
1994,JPN,3,5,2,10,Winter
1994,NED,0,1,3,4,Winter
1994,AUS,0,0,4,4,Winter
1994,KAZ,1,2,0,3,Winter
1994,CHN,0,1,2,3,Winter
1994,GBR,0,0,3,3,Winter
1994,SLO,0,0,3,3,Winter
1994,UKR,1,0,1,2,Winter
1994,BLR,0,2,0,2,Winter
1994,UZB,1,0,0,1,Winter
1998,FIN,2,7,50,59,Winter
1998,RUS,14,33,6,53,Winter
1998,CAN,14,28,7,49,Winter
1998,GER,22,12,10,44,Winter
1998,NOR,16,16,12,44,Winter
1998,USA,25,4,5,34,Winter
1998,CZE,22,1,1,24,Winter
1998,AUT,3,5,12,20,Winter
1998,ITA,3,9,5,17,Winter
1998,FRA,2,1,12,15,Winter
1998,SUI,6,5,3,14,Winter
1998,CHN,0,9,5,14,Winter
1998,JPN,8,1,4,13,Winter
1998,KOR,6,4,2,12,Winter
1998,NED,5,4,2,11,Winter
1998,SWE,0,2,5,7,Winter
1998,DEN,0,5,0,5,Winter
1998,GBR,0,0,4,4,Winter
1998,BLR,0,0,2,2,Winter
1998,KAZ,0,0,2,2,Winter
1998,BUL,1,0,0,1,Winter
1998,UKR,0,1,0,1,Winter
1998,AUS,0,0,1,1,Winter
1998,BEL,0,0,1,1,Winter
2002,USA,11,58,15,84,Winter
2002,CAN,53,7,15,75,Winter
2002,GER,26,23,12,61,Winter
2002,NOR,23,11,7,41,Winter
2002,RUS,6,5,29,40,Winter
2002,SWE,0,2,24,26,Winter
2002,SUI,3,7,14,24,Winter
2002,ITA,4,11,6,21,Winter
2002,AUT,3,4,13,20,Winter
2002,CHN,2,5,9,16,Winter
2002,FRA,5,5,5,15,Winter
2002,FIN,7,5,1,13,Winter
2002,NED,3,5,0,8,Winter
2002,KOR,5,2,0,7,Winter
2002,GBR,5,0,1,6,Winter
2002,CRO,3,1,0,4,Winter
2002,SLO,0,0,4,4,Winter
2002,CZE,1,2,0,3,Winter
2002,EST,1,1,1,3,Winter
2002,BUL,0,1,2,3,Winter
2002,AUS,2,0,0,2,Winter
2002,JPN,0,1,1,2,Winter
2002,POL,0,1,1,2,Winter
2002,BLR,0,0,1,1,Winter
2006,CAN,29,28,11,68,Winter
2006,SWE,36,21,8,65,Winter
2006,GER,23,25,6,54,Winter
2006,USA,9,11,33,53,Winter
2006,FIN,0,36,7,43,Winter
2006,RUS,16,12,13,41,Winter
2006,AUT,16,7,7,30,Winter
2006,CZE,1,2,25,28,Winter
2006,ITA,11,0,14,25,Winter
2006,NOR,2,9,12,23,Winter
2006,SUI,5,8,9,22,Winter
2006,KOR,14,3,2,19,Winter
2006,FRA,3,2,10,15,Winter
2006,NED,3,2,8,13,Winter
2006,CHN,2,5,6,13,Winter
2006,EST,3,0,0,3,Winter
2006,CRO,1,2,0,3,Winter
2006,UKR,0,0,3,3,Winter
2006,AUS,1,0,1,2,Winter
2006,POL,0,1,1,2,Winter
2006,JPN,1,0,0,1,Winter
2006,BLR,0,1,0,1,Winter
2006,BUL,0,1,0,1,Winter
2006,GBR,0,1,0,1,Winter
2006,SVK,0,1,0,1,Winter
2006,LAT,0,0,1,1,Winter
2010,USA,12,64,22,98,Winter
2010,CAN,68,15,8,91,Winter
2010,GER,15,24,15,54,Winter
2010,FIN,0,1,49,50,Winter
2010,NOR,16,15,9,40,Winter
2010,AUT,11,9,6,26,Winter
2010,RUS,6,5,14,25,Winter
2010,CHN,9,3,8,20,Winter
2010,SWE,12,3,4,19,Winter
2010,KOR,6,10,2,18,Winter
2010,FRA,2,6,6,14,Winter
2010,SUI,6,0,7,13,Winter
2010,NED,4,1,6,11,Winter
2010,CZE,2,0,7,9,Winter
2010,POL,1,3,4,8,Winter
2010,JPN,0,5,2,7,Winter
2010,ITA,1,1,3,5,Winter
2010,AUS,2,1,0,3,Winter
2010,BLR,1,1,1,3,Winter
2010,SVK,1,1,1,3,Winter
2010,LAT,0,3,0,3,Winter
2010,CRO,0,2,1,3,Winter
2010,SLO,0,2,1,3,Winter
2010,GBR,1,0,0,1,Winter
2010,EST,0,1,0,1,Winter
2010,KAZ,0,1,0,1,Winter
2014,CAN,63,22,5,90,Winter
2014,RUS,33,22,13,68,Winter
2014,USA,10,31,24,65,Winter
2014,SWE,8,35,12,55,Winter
2014,NOR,18,5,13,36,Winter
2014,GER,15,12,9,36,Winter
2014,FIN,2,7,25,34,Winter
2014,SUI,6,4,22,32,Winter
2014,NED,13,7,9,29,Winter
2014,AUT,4,12,11,27,Winter
2014,FRA,4,4,10,18,Winter
2014,KOR,7,5,2,14,Winter
2014,ITA,0,2,12,14,Winter
2014,CHN,3,4,6,13,Winter
2014,GBR,1,5,6,12,Winter
2014,POL,4,4,3,11,Winter
2014,CZE,2,7,2,11,Winter
2014,JPN,1,4,6,11,Winter
2014,LAT,0,5,6,11,Winter
2014,SLO,2,2,4,8,Winter
2014,BLR,5,0,1,6,Winter
2014,UKR,4,0,1,5,Winter
2014,AUS,0,2,1,3,Winter
2014,SVK,1,0,0,1,Winter
2014,CRO,0,1,0,1,Winter
2014,KAZ,0,0,1,1,Winter
